"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.417706950E-1,-1.924908161E-2,-6.623238325E-3,2.886390686E-2,3.532024275E-2
9.468371020E-1,-2.036094666E-4,2.832949162E-3,-1.413631439E-2,1.441882250E-2
9.518855390E-1,6.860166788E-3,-6.687819958E-3,1.449108124E-2,1.737182373E-2
9.570041850E-1,2.578952909E-2,1.722905040E-2,-1.650714874E-2,3.513439835E-2
9.620321540E-1,6.550461054E-3,9.957313538E-3,5.011558533E-3,1.292951476E-2
9.671043410E-1,-1.490157843E-2,7.447361946E-3,4.967689514E-3,1.738384821E-2
9.721716330E-1,1.786559820E-3,1.689252257E-2,-2.832794189E-2,3.303061318E-2
9.772401230E-1,1.706868410E-3,1.443329453E-2,4.196166992E-4,1.453992672E-2
9.823040290E-1,-7.476508617E-4,1.912111044E-2,5.172729492E-3,1.982253709E-2
9.873701750E-1,-1.036036015E-2,1.184019446E-2,-1.992225647E-3,1.585863267E-2
9.924340290E-1,-8.886158466E-4,4.671961069E-3,1.941204071E-2,1.998609974E-2
9.975004870E-1,-3.215074539E-3,-2.382308245E-3,2.638149261E-2,2.668323911E-2
1.002568925E0,1.602053642E-3,9.572356939E-3,7.158279419E-3,1.205974948E-2
1.007633820E0,-5.545824766E-3,1.425307989E-2,3.085517883E-2,3.443760328E-2
1.012703873E0,-1.501455903E-2,-2.385288477E-3,1.634979248E-2,2.232582133E-2
1.017783612E0,1.587304473E-2,-1.899132133E-2,2.809619904E-2,3.744356066E-2
1.022837154E0,3.948101401E-2,-3.540709615E-2,2.786445618E-2,5.990693485E-2
1.027907102E0,1.310759783E-2,-2.555719018E-2,6.251335144E-3,2.939486829E-2
1.032986477E0,-1.165777445E-3,-8.556127548E-3,-1.992797852E-2,2.171844109E-2
1.038063820E0,-2.725005150E-2,1.176565886E-3,8.750915527E-3,2.864486231E-2
1.043125279E0,-9.096562862E-4,1.304510236E-2,2.530765533E-2,2.848648080E-2
1.048163820E0,-9.689033031E-4,1.758685708E-2,1.084136963E-2,2.068264033E-2
1.053221112E0,6.096273661E-3,1.021045446E-2,-1.775836945E-2,2.137235640E-2
1.058286998E0,-1.064807177E-2,1.013043523E-2,2.752780914E-2,3.120556724E-2
1.063352362E0,-2.482771873E-2,5.986988544E-4,9.619140625E-2,9.934566268E-2
1.068418508E0,-5.579680204E-3,-2.326288819E-2,3.599452972E-2,4.321921989E-2
1.073505487E0,1.630395651E-3,-1.836735010E-2,9.560585022E-3,2.077071317E-2
1.078561737E0,1.828235388E-2,3.220349550E-3,-4.772186279E-3,1.916739097E-2
1.083625539E0,1.811966300E-2,-1.105248928E-2,-4.731178284E-3,2.174543066E-2
1.088702362E0,1.220405102E-3,-8.582025766E-3,-2.311706543E-3,8.971317741E-3
1.093765383E0,2.484157681E-2,1.286780834E-2,7.214546204E-3,2.889176539E-2
1.098817466E0,1.036134362E-2,5.081951618E-2,-7.095336914E-3,5.234810859E-2
1.103882310E0,-2.300253510E-2,1.718896627E-2,2.622413635E-2,3.888807671E-2
1.108951320E0,2.473917603E-2,-6.600499153E-3,-4.525661469E-2,5.199764026E-2
1.114021112E0,3.877344728E-2,-2.311712503E-2,-6.867408752E-3,4.566117592E-2
1.119083873E0,5.229622126E-3,-2.059811354E-2,-2.063751221E-3,2.135158772E-2
1.124149758E0,7.551252842E-3,-3.704798222E-2,7.456779480E-3,3.853800677E-2
1.129415487E0,7.475048304E-3,-1.535418630E-2,2.644538879E-3,1.728065305E-2
1.134265487E0,-1.170805097E-2,1.100492477E-2,2.565383911E-4,1.607024078E-2
1.139360227E0,-5.211699009E-2,-8.090496063E-3,3.114223480E-2,6.124929037E-2
1.144419758E0,5.369395018E-3,-2.934587002E-2,3.563499451E-2,4.647432973E-2
1.149508612E0,-1.126950979E-2,4.156857729E-3,2.583408356E-2,2.849001914E-2
1.154601529E0,-6.387501955E-3,2.788043022E-2,-2.890586853E-3,2.874846192E-2
1.159616268E0,-8.619457483E-3,1.350286603E-2,6.637573242E-3,1.734012159E-2
1.164685018E0,-2.281850576E-2,1.513302326E-3,1.608467102E-2,2.795873622E-2
1.169741685E0,-8.543670177E-3,1.803064346E-2,3.733348846E-2,4.233069530E-2
1.174817779E0,5.820125341E-3,1.783332229E-2,2.751731873E-2,3.330321415E-2
1.179882570E0,1.050752401E-2,1.768755913E-2,3.533363342E-3,2.087444527E-2
1.184948300E0,-1.522541046E-3,-1.328477263E-2,2.251434326E-2,2.618585434E-2
1.190050539E0,-2.764874697E-2,2.500125766E-2,-2.042484283E-2,4.250517966E-2
1.195081477E0,1.058238745E-2,5.797982216E-3,3.501892090E-3,1.256450437E-2
1.200146320E0,1.756083965E-2,2.243989706E-2,2.723407745E-2,3.941607596E-2
1.205223404E0,7.680654526E-4,3.353536129E-3,-1.494407654E-3,3.750917667E-3
1.210276320E0,2.212876081E-2,9.551048279E-4,1.277160645E-2,2.556771815E-2
1.215361685E0,2.203604579E-2,8.183300495E-3,-2.296733856E-2,3.286415010E-2
1.220420539E0,2.907016873E-2,1.049572229E-2,-8.525848389E-3,3.206126927E-2
1.225481529E0,7.539302111E-3,-1.091453433E-2,2.242565155E-2,2.605528705E-2
1.230534602E0,2.828240395E-4,2.956339717E-2,-3.001976013E-2,4.213383961E-2
1.235607518E0,2.159297466E-2,1.511874795E-2,5.100440979E-2,5.741326425E-2
1.240671320E0,-2.605605125E-2,1.267647743E-2,-2.543640137E-2,3.855672965E-2
1.245753612E0,-3.303298354E-2,-1.588052511E-2,4.129600525E-2,5.521529796E-2
1.250818977E0,-3.028848767E-2,-1.579299569E-2,-4.219722748E-2,5.429012070E-2
1.255870018E0,2.220821381E-2,-1.571264863E-2,-1.463890076E-3,2.724399129E-2
1.260936268E0,-1.747399569E-3,-1.795440912E-2,1.280212402E-2,2.212032079E-2
1.266000852E0,-3.257557750E-2,-1.299664378E-2,8.192062378E-4,3.508207659E-2
1.271068300E0,-1.568815112E-2,-3.653454781E-2,2.694988251E-2,4.803319098E-2
1.276134445E0,-1.794567704E-2,-3.152602911E-2,1.484489441E-2,3.919577434E-2
1.281198508E0,-5.931198597E-3,1.614847779E-2,-1.378822327E-2,2.204693976E-2
1.286265175E0,3.605127335E-3,1.126566529E-2,1.958465576E-2,2.287948642E-2
1.291332623E0,-5.942255259E-3,-2.208289504E-2,4.177093506E-4,2.287223496E-2
1.296397987E0,3.586947918E-3,1.615801454E-2,-6.710052490E-3,1.785979937E-2
1.301462779E0,-1.545998454E-2,1.775175333E-3,-6.652832031E-3,1.692402268E-2
1.306528977E0,1.078456640E-2,1.839199662E-2,-1.609802246E-2,2.671551496E-2
1.311595852E0,2.023369074E-2,1.824155450E-2,1.491641998E-2,3.105891396E-2
1.316652518E0,2.005231380E-2,-3.411534429E-2,3.855037689E-2,5.524566556E-2
1.321735852E0,1.987242699E-2,-1.714500785E-2,2.872943878E-2,3.891330494E-2
1.326797779E0,2.682313323E-2,-1.699489355E-2,2.611637115E-2,4.111413048E-2
1.331865904E0,-1.617041230E-2,6.909340620E-3,-9.733200073E-3,2.009866676E-2
1.336932102E0,-1.377940178E-2,-1.214969158E-2,1.648330688E-2,2.468170020E-2
1.341996737E0,-1.600331068E-2,-2.619478106E-2,-7.406234741E-3,3.157728330E-2
1.347065123E0,5.497127771E-3,1.074075699E-4,-3.585243225E-2,3.627157080E-2
1.352137258E0,2.676382661E-2,-6.965160370E-3,-9.416580200E-3,2.921451448E-2
1.357216893E0,-2.098521590E-2,-4.580885172E-3,2.154159546E-2,3.042045579E-2
1.362260383E0,1.248627901E-2,2.133846283E-4,-1.902294159E-2,2.275576857E-2
1.367325695E0,-1.846048236E-2,4.967749119E-3,1.439094543E-2,2.392837752E-2
1.372393195E0,7.754564285E-3,-1.650488377E-2,-1.661014557E-2,2.466660478E-2
1.377458768E0,5.296766758E-3,2.533555031E-3,9.655952454E-3,1.130097593E-2
1.382528977E0,5.348891020E-3,-1.405477524E-2,4.045677185E-2,4.316129899E-2
1.387588508E0,5.343556404E-3,-1.145315170E-2,1.399230957E-2,1.885505253E-2
1.392669706E0,-3.277212381E-2,5.794465542E-4,-9.873390198E-3,3.423202728E-2
1.397733820E0,-3.726282716E-2,1.013386250E-2,-2.662658691E-3,3.870792178E-2
1.402801216E0,8.165270090E-3,2.435535192E-2,3.299522400E-2,4.181554268E-2
1.407861112E0,1.050710678E-2,-1.132410765E-2,6.595611572E-3,1.679692826E-2
1.412918664E0,-8.545517921E-3,1.268658042E-2,1.794815063E-3,1.540118698E-2
1.417986373E0,1.057171822E-2,-3.988593817E-3,2.316093445E-2,2.577011818E-2
1.423051216E0,3.398716450E-3,2.455833554E-2,-5.540847778E-3,2.540401764E-2
1.428126320E0,2.241164446E-2,2.915972471E-2,1.633644104E-3,3.681358643E-2
1.433180643E0,1.750329137E-2,-1.147112250E-2,2.299785614E-2,3.109426390E-2
1.438245227E0,-1.714110374E-3,1.728987694E-2,6.187438965E-3,1.844349262E-2
1.443316060E0,-1.358786225E-2,1.007851958E-2,8.514404297E-3,1.893942022E-2
1.448381685E0,7.944494486E-3,1.950174570E-2,-1.293849945E-2,2.471513395E-2
1.453447310E0,-1.831984520E-2,-4.413336515E-3,1.330280304E-2,2.306640059E-2
1.458528560E0,-8.732497692E-3,-1.387584209E-2,2.032184601E-2,2.611078197E-2
1.463586373E0,1.513731480E-2,5.199342966E-3,5.578136444E-2,5.803216423E-2
1.468663716E0,1.262283325E-2,3.836643696E-2,1.017856598E-2,4.165240221E-2
1.473726998E0,1.012936234E-2,2.612203360E-2,2.965927124E-3,2.817377050E-2
1.478790279E0,-1.842465997E-2,-1.442492008E-2,-6.560325623E-3,2.430193998E-2
1.483844706E0,-3.015914559E-2,-9.442538023E-3,-6.500244141E-3,3.226435744E-2
1.488913977E0,-1.566982269E-2,1.411139965E-4,-1.832294464E-2,2.411003021E-2
1.493981216E0,-1.792997122E-2,-2.593606710E-2,-8.666038513E-3,3.269959737E-2
1.499048977E0,-5.915641785E-3,9.970277548E-3,-3.234577179E-2,3.436059087E-2
1.504113404E0,1.297086477E-3,2.419528365E-2,-1.193046570E-3,2.425938054E-2
1.509202310E0,1.557651162E-2,-4.509955645E-3,2.019500732E-2,2.589991766E-2
1.514248195E0,1.180738211E-3,-1.396948099E-2,5.774497986E-3,1.516197114E-2
1.519311685E0,-8.393615484E-3,-1.968145370E-3,4.611301422E-2,4.691200761E-2
1.524374445E0,1.113742590E-3,3.854146600E-2,-4.149436951E-3,3.878018632E-2
1.529460956E0,-5.982697010E-3,3.347423673E-2,-1.124286652E-2,3.581506995E-2
1.534507883E0,-1.095622778E-3,2.262085676E-3,-2.778339386E-2,2.789685278E-2
1.539572623E0,8.400470018E-3,-1.681026816E-2,-6.175041199E-3,1.978090357E-2
1.544640956E0,1.064115763E-2,9.413719177E-3,-2.037525177E-2,2.483954970E-2
1.549707570E0,-3.713518381E-3,1.651898026E-2,-1.782703400E-2,2.458597301E-2
1.554785018E0,1.105427742E-3,1.416510344E-2,-2.717494965E-2,3.066512700E-2
1.559841945E0,2.008533478E-2,4.735937715E-2,-3.190994263E-3,5.154137873E-2
1.564912258E0,3.273963928E-3,1.365792751E-2,1.108646393E-2,1.789322515E-2
1.570004550E0,1.985776424E-2,1.354476810E-2,4.662799835E-2,5.245914385E-2
1.575050904E0,3.160429001E-2,-8.206963539E-4,8.229255676E-3,3.266841500E-2
1.580112883E0,2.816885710E-3,4.041880369E-3,3.429698944E-2,3.464902779E-2
1.585150279E0,7.529407740E-3,2.069157362E-2,1.263427734E-2,2.538618057E-2
