"t (s)","a (m/s²)"
2.332492620E0,-1.001197100E-2
2.337510380E0,-5.207806826E-3
2.342573922E0,-1.222303510E-2
2.347642099E0,9.326726198E-3
2.352706995E0,2.357298136E-2
2.357776161E0,1.616996527E-2
2.362840015E0,2.075567842E-2
2.367906370E0,-1.033267379E-2
2.372982411E0,1.597642899E-3
2.378041630E0,2.768465877E-2
2.383116786E0,1.321947575E-2
2.388198036E0,1.070025563E-2
2.393240328E0,-5.825811625E-2
2.398309390E0,1.357266307E-2
2.403468297E0,8.682936430E-3
2.408501786E0,-1.992356777E-2
2.413559755E0,3.490403295E-2
2.418625484E0,1.092854142E-2
2.423689755E0,-1.527199149E-2
2.428759390E0,-7.996618748E-3
2.433826265E0,3.732815385E-2
2.438895276E0,1.121494174E-2
2.443956630E0,-5.046764016E-2
2.449020484E0,3.316190839E-2
2.454098349E0,4.499495029E-3
2.459166682E0,-1.927188039E-2
2.464226370E0,9.419381618E-3
2.469293557E0,6.981223822E-3
2.474404651E0,-9.584486485E-3
2.479438192E0,-3.076237440E-2
2.484503297E0,2.901083231E-2
2.489568401E0,-3.282272816E-2
2.494624911E0,-6.292879581E-3
2.499682463E0,1.531690359E-2
2.504743922E0,-1.541653275E-2
2.509797828E0,3.997564316E-3
2.514910380E0,-1.692677736E-1
2.519898557E0,-1.158921421E-1
2.524964130E0,-5.570983887E-2
2.530032203E0,-9.283038974E-2
2.535138245E0,1.361067593E-1
2.540200953E0,3.198620677E-1
2.545243453E0,1.885073781E-1
2.550297411E0,9.178239107E-2
2.555360692E0,1.050962806E-1
2.560428661E0,1.582711339E-1
2.565494286E0,-3.065055609E-1
2.570560953E0,-5.786013603E-1
2.575627359E0,-7.807899714E-1
2.580727828E0,-9.768208861E-1
2.585890797E0,-1.065865755E0
2.590924911E0,-9.573799372E-1
2.595950432E0,-7.435948253E-1
2.601019338E0,-5.905318260E-1
2.606087724E0,-6.045053005E-1
2.611151422E0,-5.901767015E-1
2.616215745E0,-6.614374518E-1
2.621284182E0,-6.726444960E-1
