"time","ax"
1.564308737E2,3.397808075E-1
1.564334331E2,3.756731451E-1
1.564359647E2,3.972085714E-1
1.564384963E2,3.589234054E-1
1.564410278E2,4.043870270E-1
1.564435594E2,4.235295951E-1
1.564460910E2,3.828516304E-1
1.564486226E2,4.139583111E-1
1.564511541E2,3.804588020E-1
1.564536857E2,3.780659735E-1
1.564562172E2,3.708875179E-1
1.564587488E2,3.804588020E-1
1.564612804E2,3.876372576E-1
1.564638151E2,3.637090325E-1
1.564663466E2,3.876372576E-1
1.564688782E2,3.661018610E-1
1.564714097E2,3.828516304E-1
1.564739414E2,4.091726840E-1
1.564764729E2,3.996013701E-1
1.564790045E2,3.924229145E-1
1.564815360E2,4.211367965E-1
1.564840676E2,4.283152521E-1
1.564865992E2,3.924229145E-1
1.564891307E2,3.828516304E-1
1.564916623E2,4.067798555E-1
1.564941419E2,3.876372576E-1
1.564966734E2,3.804588020E-1
1.564992050E2,3.924229145E-1
1.565017366E2,4.163511395E-1
1.565042681E2,3.996013701E-1
1.565067997E2,3.684946895E-1
1.565093313E2,4.043870270E-1
1.565118628E2,4.139583111E-1
1.565143944E2,3.661018610E-1
1.565169259E2,3.948157430E-1
1.565194575E2,3.804588020E-1
1.565219891E2,3.876372576E-1
1.565245210E2,4.139583111E-1
1.565270526E2,3.900300860E-1
1.565295842E2,3.613162339E-1
1.565321157E2,4.357928336E-1
1.565346473E2,3.780659735E-1
1.565371789E2,3.661018610E-1
1.565397104E2,3.804588020E-1
1.565422420E2,4.043870270E-1
1.565447735E2,4.043870270E-1
1.565473051E2,4.091726840E-1
1.565498367E2,3.996013701E-1
1.565523682E2,3.948157430E-1
1.565548990E2,4.019941986E-1
1.565574306E2,3.828516304E-1
1.565599621E2,3.924229145E-1
1.565624937E2,4.067798555E-1
1.565650253E2,3.900300860E-1
1.565675568E2,3.589234054E-1
1.565700884E2,4.163511395E-1
1.565726200E2,4.187439680E-1
1.565751515E2,4.043870270E-1
1.565776831E2,3.924229145E-1
1.565802146E2,4.019941986E-1
1.565827462E2,3.684946895E-1
1.565852833E2,3.732803464E-1
1.565878149E2,4.115654826E-1
1.565903464E2,4.019941986E-1
1.565928780E2,4.067798555E-1
1.565954096E2,4.091726840E-1
1.565979412E2,3.732803464E-1
1.566004727E2,4.163511395E-1
1.566030043E2,4.067798555E-1
1.566055358E2,3.996013701E-1
1.566080674E2,3.924229145E-1
1.566105990E2,3.996013701E-1
1.566131305E2,4.091726840E-1
1.566156697E2,3.948157430E-1
