time,ax,ay,az,am,gx,gy,gz,gm,velx,distx,button
1649246853.6554694,-0.32574462890625,-0.28765869140625,1.111083984375,1.1565941398346609,16.9677734375,-38.39111328125,-302.91748046875,256.0103604308281,0.8283125922025647,-1.5550154751990346,1
1649246853.6606321,-0.34698486328125,-0.31732177734375,1.05670166015625,1.1565941398346609,26.18408203125,-43.88427734375,-188.41552734375,203.7014941681093,0.8263723397394642,-1.5502431163948796,1
1649246853.665586,-0.671630859375,-0.36016845703125,1.036376953125,1.2864239261121238,24.0478515625,-54.99267578125,-198.974609375,208.7584905839295,0.8238069207363878,-1.546087082731598,1
1649246853.6707008,-0.671630859375,-0.36016845703125,1.036376953125,1.2864239261121238,21.30126953125,-63.90380859375,-206.4208984375,229.85664808647158,0.8204488497067359,-1.5419765452309826,1
1649246853.6756978,-0.75750732421875,-0.377197265625,0.9942626953125,1.305623770743358,23.01025390625,-70.25146484375,-234.06982421875,247.81375353136548,0.8168026648563682,-1.5377993972566488,1
1649246853.6807458,-0.75750732421875,-0.377197265625,0.9942626953125,1.305623770743358,22.5830078125,-83.06884765625,-234.19189453125,257.46731335386954,0.8129875897648162,-1.5336952968697173,1
1649246853.685704,-0.759521484375,-0.39202880859375,0.98309326171875,1.3027017437738575,24.7802734375,-93.75,-225.830078125,247.56619293166622,0.8092166322094272,-1.5296628993090484,1
1649246853.690703,-0.759521484375,-0.39202880859375,0.98309326171875,1.3027017437738575,18.85986328125,-113.46435546875,-209.9609375,242.97622718222456,0.8054276299008052,-1.5256354353316646,1
1649246853.6958978,-1.046630859375,-0.4013671875,1.0177001953125,1.514016334963666,16.4794921875,-117.67578125,-201.66015625,238.02296914381265,0.8008565956770326,-1.5215702299830516,1
1649246853.701007,-1.046630859375,-0.4013671875,1.0177001953125,1.514016334963666,13.61083984375,-115.29541015625,-200.439453125,227.33788335250503,0.7954528883492458,-1.5174493935014102,1
